Title,Genre,Cast1,Cast2,Cast3,Synopsis,Runtime,MPA_Rating,Critic_Rating
Logan,Superhero,Hugh Jackman,Patrick Stewart,Dafne Keen,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","2'17""",R,8.1
Maharaja,Action,Vijay Sethupathi,Anurag Kashyap,Mamta Mohandas,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.","2'30""",NR,8.6
Oppenheimer,Drama,Cillian Murphy,Emily Blunt,Matt Damon,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,3',R,8.3
Dune: Part Two,Adventure,Timothee Chalamet,Zendaya,Rebecca Ferguson,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,"2'46""",PG-13,8.5
The Shawshank Redemption,Drama,Tim Robbins,Morgan Freeman,Bob Gunton,"A Maine banker convicted of the murder of his wife and her lover in 1947 gradually forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.","2'22""",R,9.3
Alien,Horror,Sigourney Weaver,Tom Skerritt,John Hurt,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.","1'57""",R,8.5
Gladiator,Action,Russell Crowe,Joaquin Phoenix,Connie Nielsen,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"2'35""",R,8.5
Interstellar,Adventure,Matthew McConaughey,Anne Hathaway,Jessica Chastain,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","2'49""",PG-13,8.7
Pulp Fiction,Drama,John Travolta,Uma Thurman,Samuel L. Jackson,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","2'34""",R,8.9
The Godfather,Tragedy,Marlon Brando,Al Pacino,James Caan,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son, Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","2'55""",R,9.2
The Dark Knight,Superhero,Christian Bale,Heath Ledger,Aaron Eckhart,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.","2'32""",PG-13,9
Inside Out,Animation,Amy Poehler,Bill Hader,Lewis Black,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","1'35""",PG,8.1
Avengers: Endgame,Superhero,Robert Downey Jr.,Chris Evans,Mark Ruffalo,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","3'1""",PG-13,8.4
Top Gun: Maverick,Action,Tom Cruise,Jennifer Connelly,Miles Teller,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.","2'10""",PG-13,8.2
Aliens,Horror,Sigourney Weaver,Michael Biehn,Carrie Henn,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","2'17""",R,8.4
The Lord of the Rings: The Fellowship of the Ring,Fantasy,Elijah Wood,Ian McKellen,Orlando Bloom,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"2'58""",PG-13,8.9
Mad Max: Fury Road,Action,Tom Hardy,Charlize Theron,Nicholas Hoult,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",2',R,8.1
Inception,Psychological,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","2'28""",PG-13,8.8
The Wolf of Wall Street,Satire,Leonardo DiCaprio,Jonah Hill,Margot Robbie,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",3',R,8.2
Fight Club,Drama,Brad Pitt,Edward Norton,Meat Loaf,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"2'19""",R,8.8
The Sixth Sense,Thriller,Bruce Willis,Haley Joel Osment,Toni Collette,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.","1'47""",PG-13,8.2
Jaws,Adventure,Roy Scheider,Robert Shaw,Richard Dreyfuss,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","2'4""",PG,8.1
